iter	Passed	Remaining
328	14236	29035
329	14277	28988
330	14323	28948
331	14368	28909
332	14414	28871
333	14462	28838
334	14508	28800
335	14549	28751
336	14591	28707
337	14630	28655
338	14675	28614
339	14718	28570
340	14759	28524
341	14803	28481
342	14845	28435
343	14892	28399
344	14935	28356
345	14981	28318
346	15029	28282
347	15067	28230
348	15111	28187
349	15156	28147
350	15199	28103
351	15240	28055
352	15280	28006
353	15323	27963
354	15365	27917
355	15408	27872
356	15453	27833
357	15498	27793
358	15547	27760
359	15588	27712
360	15637	27679
361	15679	27634
362	15719	27585
363	15762	27541
364	15814	27512
365	15858	27470
366	15897	27419
367	15945	27384
368	15990	27343
369	16032	27297
370	16073	27250
371	16116	27207
372	16162	27167
373	16203	27121
374	16247	27078
375	16287	27030
376	16327	26981
377	16373	26943
378	16418	26901
379	16460	26856
380	16501	26809
381	16543	26763
382	16584	26717
383	16624	26669
384	16670	26629
385	16721	26598
386	16769	26562
387	16814	26521
388	16854	26472
389	16896	26428
390	16943	26391
391	16987	26347
392	17037	26315
393	17076	26265
394	17118	26219
395	17159	26172
396	17204	26131
397	17244	26084
398	17287	26039
399	17333	26000
400	17373	25951
401	17417	25909
402	17454	25857
403	17500	25817
404	17545	25776
405	17590	25736
406	17634	25693
407	17674	25645
408	17718	25603
409	17762	25561
410	17803	25514
411	17849	25474
412	17892	25431
413	17943	25398
414	17989	25358
415	18034	25318
416	18075	25271
417	18117	25225
418	18160	25182
419	18202	25136
420	18249	25098
421	18296	25060
422	18344	25023
423	18383	24973
424	18430	24934
425	18479	24899
426	18529	24865
427	18572	24821
428	18613	24774
429	18662	24738
430	18707	24697
431	18747	24649
432	18792	24608
433	18833	24562
434	18884	24528
435	18931	24489
436	18972	24442
437	19010	24392
438	19059	24356
439	19096	24305
440	19142	24263
441	19186	24221
442	19227	24175
443	19272	24133
444	19319	24094
445	19368	24058
446	19409	24012
447	19453	23969
448	19500	23930
449	19544	23888
450	19594	23852
451	19634	23804
452	19674	23757
453	19721	23718
454	19761	23670
455	19806	23628
456	19855	23591
457	19899	23549
458	19948	23511
459	19993	23470
460	20035	23425
461	20082	23385
462	20122	23339
463	20166	23295
464	20206	23248
465	20249	23204
466	20291	23159
467	20333	23114
468	20376	23070
469	20421	23028
470	20465	22985
471	20511	22945
472	20558	22905
473	20600	22860
474	20646	22819
475	20690	22777
476	20729	22728
477	20774	22687
478	20821	22646
479	20869	22608
480	20916	22568
481	20959	22524
482	21003	22481
483	21044	22436
484	21085	22390
485	21128	22345
486	21170	22300
487	21214	22257
488	21260	22217
489	21300	22169
490	21344	22126
491	21384	22080
492	21428	22036
493	21469	21990
494	21511	21946
495	21552	21900
496	21592	21852
497	21628	21802
498	21673	21760
499	21720	21720
500	21761	21674
501	21807	21633
502	21850	21589
503	21895	21547
504	21939	21504
505	21986	21464
506	22024	21416
507	22070	21375
508	22115	21333
509	22156	21287
510	22198	21242
511	22245	21202
512	22290	21160
513	22333	21117
514	22381	21077
515	22421	21031
516	22461	20984
517	22507	20943
518	22554	20902
519	22598	20860
520	22640	20815
521	22683	20771
522	22731	20732
523	22778	20691
524	22820	20647
525	22864	20604
526	22907	20560
527	22952	20518
528	22997	20476
529	23041	20433
530	23086	20390
531	23127	20345
532	23175	20305
533	23218	20261
534	23257	20214
535	23302	20172
536	23345	20128
537	23385	20081
538	23427	20036
539	23472	19994
540	23517	19952
541	23565	19913
542	23607	19868
543	23650	19824
544	23696	19783
545	23741	19741
546	23783	19696
547	23832	19657
548	23878	19616
549	23920	19571
550	23962	19526
551	24002	19480
552	24045	19436
553	24093	19396
554	24137	19353
555	24177	19307
556	24223	19265
557	24267	19222
558	24307	19176
559	24346	19129
560	24391	19087
561	24434	19043
562	24477	18999
563	24524	18958
564	24563	18911
565	24607	18868
566	24650	18824
567	24695	18782
568	24739	18739
569	24786	18698
570	24832	18656
571	24871	18610
572	24917	18568
573	24960	18524
574	24999	18477
575	25042	18434
576	25086	18391
577	25136	18352
578	25183	18311
579	25227	18268
580	25275	18227
581	25322	18187
582	25367	18144
583	25417	18105
584	25460	18061
585	25506	18019
586	25553	17978
587	25597	17935
588	25640	17891
589	25686	17850
590	25731	17807
591	25774	17763
592	25819	17720
593	25863	17677
594	25906	17633
595	25954	17593
596	25995	17547
597	26040	17505
598	26084	17462
599	26122	17414
600	26165	17370
601	26206	17325
602	26251	17283
603	26294	17239
604	26339	17196
605	26386	17155
606	26431	17113
607	26481	17073
608	26524	17029
609	26570	16987
610	26613	16944
611	26658	16900
612	26704	16859
613	26753	16819
614	26795	16774
615	26837	16729
616	26874	16682
617	26919	16639
618	26962	16595
619	27008	16553
620	27052	16509
621	27092	16464
622	27134	16420
623	27180	16378
624	27221	16333
625	27266	16290
626	27307	16245
627	27352	16202
628	27394	16157
629	27440	16115
630	27486	16073
631	27530	16030
632	27575	15987
633	27619	15944
634	27662	15900
635	27710	15859
636	27747	15811
637	27789	15767
638	27830	15722
639	27879	15681
640	27922	15638
641	27968	15596
642	28020	15557
643	28065	15514
644	28110	15471
645	28152	15427
646	28195	15383
647	28242	15341
648	28285	15297
649	28325	15252
650	28371	15210
651	28417	15167
652	28459	15123
653	28501	15078
654	28544	15034
655	28583	14989
656	28632	14948
657	28678	14905
658	28724	14863
659	28767	14819
660	28810	14775
661	28857	14733
662	28902	14691
663	28948	14648
664	28987	14602
665	29033	14560
666	29077	14516
667	29120	14473
668	29164	14429
669	29205	14385
670	29249	14341
671	29292	14297
672	29337	14254
673	29381	14211
674	29420	14165
675	29469	14124
676	29512	14080
677	29554	14036
678	29599	13993
679	29646	13951
680	29691	13908
681	29733	13864
682	29779	13821
683	29820	13776
684	29865	13733
685	29912	13691
686	29952	13646
687	29996	13602
688	30036	13557
689	30075	13512
690	30125	13471
691	30167	13427
692	30205	13381
693	30247	13336
694	30293	13294
695	30338	13251
696	30381	13207
697	30423	13163
698	30470	13121
699	30516	13078
700	30565	13037
701	30613	12995
702	30658	12952
703	30701	12908
704	30750	12867
705	30796	12824
706	30845	12783
707	30892	12741
708	30937	12697
709	30978	12653
710	31020	12608
711	31061	12564
712	31104	12520
713	31146	12476
714	31188	12431
715	31234	12389
716	31279	12345
717	31324	12303
718	31370	12260
719	31417	12217
720	31459	12173
721	31506	12131
722	31552	12088
723	31591	12043
724	31638	12000
725	31679	11956
726	31721	11912
727	31768	11869
728	31809	11824
729	31857	11782
730	31899	11738
731	31943	11695
732	31995	11654
733	32038	11610
734	32080	11566
735	32119	11521
736	32164	11478
737	32209	11434
738	32252	11390
739	32299	11348
740	32344	11305
741	32392	11263
742	32433	11218
743	32474	11174
744	32517	11130
745	32561	11086
746	32608	11043
747	32656	11001
748	32698	10957
749	32741	10913
750	32791	10872
751	32840	10830
752	32885	10786
753	32934	10745
754	32977	10701
755	33022	10658
756	33067	10614
757	33107	10569
758	33147	10524
759	33189	10480
760	33238	10439
761	33284	10396
762	33330	10352
763	33378	10310
764	33430	10269
765	33474	10225
766	33515	10181
767	33559	10137
768	33605	10094
769	33644	10049
770	33690	10006
771	33735	9963
772	33781	9920
773	33824	9876
774	33863	9831
775	33905	9787
776	33953	9744
777	34000	9701
778	34044	9658
779	34086	9614
780	34131	9570
781	34175	9527
782	34222	9484
783	34261	9439
784	34301	9394
785	34348	9351
786	34389	9307
787	34433	9263
788	34475	9219
789	34524	9177
790	34568	9133
791	34615	9090
792	34659	9047
793	34700	9002
794	34745	8959
795	34789	8915
796	34848	8875
797	34894	8833
798	34942	8790
799	34989	8747
800	35029	8702
801	35077	8659
802	35122	8616
803	35165	8572
804	35210	8529
805	35254	8485
806	35298	8442
807	35347	8399
808	35393	8356
809	35432	8311
810	35473	8266
811	35516	8222
812	35560	8179
813	35608	8136
814	35646	8091
815	35687	8047
816	35726	8002
817	35770	7958
818	35814	7915
819	35859	7871
820	35905	7828
821	35950	7784
822	35992	7740
823	36041	7698
824	36084	7654
825	36127	7610
826	36174	7567
827	36218	7523
828	36262	7480
829	36308	7436
830	36355	7393
831	36403	7350
832	36449	7307
833	36497	7264
834	36540	7220
835	36581	7176
836	36626	7132
837	36673	7089
838	36713	7045
839	36755	7000
840	36805	6958
841	36851	6915
842	36898	6871
843	36941	6828
844	36987	6784
845	37026	6740
846	37077	6697
847	37121	6653
848	37170	6610
849	37216	6567
850	37257	6523
851	37301	6479
852	37347	6436
853	37394	6393
854	37440	6349
855	37484	6305
856	37533	6262
857	37579	6219
858	37621	6175
859	37670	6132
860	37711	6088
861	37752	6043
862	37795	5999
863	37841	5956
864	37887	5913
865	37921	5867
866	37967	5824
867	38010	5780
868	38055	5736
869	38102	5693
870	38144	5649
871	38194	5606
872	38241	5563
873	38284	5519
874	38328	5475
875	38376	5432
876	38416	5387
877	38462	5344
878	38507	5300
879	38548	5256
880	38597	5213
881	38640	5169
882	38682	5125
883	38728	5081
884	38775	5038
885	38822	4995
886	38864	4951
887	38903	4906
888	38945	4862
889	38993	4819
890	39037	4775
891	39084	4732
892	39131	4688
893	39178	4645
894	39225	4601
895	39272	4558
896	39319	4514
897	39373	4472
898	39425	4429
899	39482	4386
900	39538	4344
901	39588	4301
902	39632	4257
903	39673	4213
904	39717	4169
905	39764	4125
906	39810	4081
907	39852	4037
908	39897	3994
909	39945	3950
910	39991	3906
911	40037	3863
912	40085	3819
913	40128	3775
914	40175	3732
915	40222	3688
916	40266	3644
917	40310	3600
918	40353	3556
919	40398	3512
920	40440	3468
921	40489	3425
922	40535	3381
923	40587	3338
924	40635	3294
925	40674	3250
926	40719	3206
927	40765	3162
928	40810	3118
929	40856	3075
930	40898	3031
931	40941	2987
932	40990	2943
933	41031	2899
934	41074	2855
935	41111	2811
936	41153	2766
937	41199	2723
938	41238	2678
939	41283	2635
940	41328	2591
941	41372	2547
942	41417	2503
943	41463	2459
944	41511	2416
945	41563	2372
946	41605	2328
947	41653	2284
948	41693	2240
949	41733	2196
950	41784	2152
951	41829	2109
952	41875	2065
953	41920	2021
954	41961	1977
955	42005	1933
956	42051	1889
957	42095	1845
958	42133	1801
959	42184	1757
960	42228	1713
961	42270	1669
962	42314	1625
963	42364	1582
964	42413	1538
965	42454	1494
966	42501	1450
967	42541	1406
968	42587	1362
969	42629	1318
970	42678	1274
971	42723	1230
972	42774	1186
973	42820	1143
974	42862	1099
975	42907	1055
976	42953	1011
977	42996	967
978	43044	923
979	43085	879
980	43126	835
981	43169	791
982	43208	747
983	43252	703
984	43298	659
985	43343	615
986	43390	571
987	43436	527
988	43481	483
989	43526	439
990	43570	395
991	43609	351
992	43652	307
993	43695	263
994	43744	219
995	43787	175
996	43832	131
997	43878	87
998	43920	43
999	43962	0
