iter	Logloss
0	0.6212347865
1	0.560392942
2	0.5107934313
3	0.4699316229
4	0.4359436891
5	0.4090511405
6	0.3851199645
7	0.3672382754
8	0.3506738193
9	0.3368657097
10	0.3239131456
11	0.3151178757
12	0.3056675487
13	0.2983342135
14	0.2915485233
15	0.2851555236
16	0.2798979393
17	0.2747008597
18	0.2696712706
19	0.2653031105
20	0.2613789435
21	0.2569670661
22	0.2534084181
23	0.2504280103
24	0.2473106509
25	0.2443824397
26	0.2417375593
27	0.2390782086
28	0.2363646846
29	0.2342390464
30	0.2319846118
31	0.2302719683
32	0.228195156
33	0.226177011
34	0.224242151
35	0.2223680835
36	0.2209662897
37	0.2194483941
38	0.2177824731
39	0.2165391339
40	0.2151292374
41	0.2137806329
42	0.2120883295
43	0.2108076159
44	0.2094291502
45	0.2081457965
46	0.2068607716
47	0.2054338749
48	0.2042341269
49	0.2031095944
50	0.2021215764
51	0.2009510674
52	0.199880023
53	0.1989354186
54	0.1979839262
55	0.1970013147
56	0.196200487
57	0.1953827212
58	0.1946133645
59	0.1937512215
60	0.1929935267
61	0.192110582
62	0.1912962026
63	0.1905538244
64	0.1898488216
65	0.1891375643
66	0.1885196243
67	0.1878390042
68	0.1871421552
69	0.1864431875
70	0.1858172561
71	0.1851558283
72	0.1845786479
73	0.183986277
74	0.1833395978
75	0.1825438292
76	0.1818229735
77	0.1812724853
78	0.1806857689
79	0.180057562
80	0.1794687168
81	0.1789309927
82	0.1782978269
83	0.1777755547
84	0.1772253795
85	0.1765477697
86	0.1759964943
87	0.1755982538
88	0.1750257149
89	0.1744187029
90	0.1739258072
91	0.1733627865
92	0.1727881015
93	0.1723715135
94	0.1718340538
95	0.1713041103
96	0.1709153304
97	0.1704504756
98	0.1699878586
99	0.1695985944
100	0.169150773
101	0.1686651379
102	0.1682752598
103	0.1678202644
104	0.1673738751
105	0.166983709
106	0.1665315631
107	0.1661341978
108	0.1657151667
109	0.1653047822
110	0.164908568
111	0.1645555226
112	0.1641444147
113	0.163714313
114	0.1633960608
115	0.1629555469
116	0.1625466974
117	0.1621920692
118	0.1617398658
119	0.1613933212
120	0.1610796328
121	0.1607761028
122	0.160401954
123	0.16002563
124	0.1596774263
125	0.1592904461
126	0.1589026664
127	0.1585293949
128	0.1582273925
129	0.1578525266
130	0.1575212694
131	0.1571981735
132	0.1569038985
133	0.1566162586
134	0.1562631945
135	0.1559342956
136	0.1555558614
137	0.1552435116
138	0.1548645803
139	0.1545388219
140	0.1542511067
141	0.1539556711
142	0.1536513846
143	0.1532960805
144	0.1529882303
145	0.1526633365
146	0.1522526295
147	0.1519584629
148	0.1516224368
149	0.1513132649
150	0.1509850788
151	0.1506776652
152	0.1503534259
153	0.1500701969
154	0.1497787526
155	0.1494040074
156	0.1491285628
157	0.1488786126
158	0.1485399934
159	0.1482025037
160	0.1479207981
